  9%|████████████▎                                                                                                                         | 923/10000 [04:50<47:40,  3.17it/s]
         19479475 function calls (18666602 primitive calls) in 294.205 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4569    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
     2775    0.002    0.000    0.176    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:658(_code_to_timestamp_pyc)
     2912    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:74(_pack_uint32)
     8327    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(is_package)
     2776    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
  2776/20    0.003    0.000    2.399    0.120 <frozen importlib._bootstrap_external>:844(exec_module)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:908(source_to_code)
     2776    0.009    0.000    0.607    0.000 <frozen importlib._bootstrap_external>:916(get_code)
      370    0.001    0.000    0.002    0.000 <frozen zipimport>:63(__init__)
       70    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
       51    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 _VF.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _VF.py:19(VFModule)
        1    0.000    0.000    0.000    0.000 _VF.py:22(__init__)
    27886    0.011    0.000    0.022    0.000 _VF.py:26(__getattr__)
        1    0.000    0.000    0.000    0.000 __about__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __about__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        2    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        4    0.000    0.000    0.000    0.000 __future__.py:68(get_swap_module_params_on_conversion)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
      298    0.003    0.000    4.186    0.014 __init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(NBitBase)
        7    0.000    0.000    0.000    0.000 __init__.py:10(is_available)
        1    0.000    0.000    0.000    0.000 __init__.py:100(Value)
       37    0.000    0.000    0.000    0.000 __init__.py:1004(_make_elementwise_binary_reference)
       30    0.000    0.000    0.000    0.000 __init__.py:101(<dictcomp>)
       37    0.000    0.000    0.005    0.000 __init__.py:1014(inner)
        1    0.000    0.000    0.000    0.000 __init__.py:1040(StreamHandler)
       26    0.000    0.000    0.000    0.000 __init__.py:1049(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:105(PEP440Warning)
        3    0.000    0.000    0.000    0.000 __init__.py:106(_is_compiled)
      149    0.000    0.000    0.000    0.000 __init__.py:106(section_pairs)
       26    0.000    0.000    0.001    0.000 __init__.py:1060(flush)
        1    0.000    0.000    0.000    0.000 __init__.py:107(_assert_is_user_process)
       26    0.000    0.000    0.001    0.000 __init__.py:1071(emit)
      286    0.000    0.000    0.001    0.000 __init__.py:108(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:108(StreamContext)
       14    0.000    0.000    0.013    0.001 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1095(ExtractionError)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:11(_PyAwaitMeta)
        1    0.000    0.000    0.000    0.000 __init__.py:11(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:111(DeQuantize)
        1    0.000    0.000    0.000    0.000 __init__.py:1111(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1115(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1123(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1127(__init__)
      286    0.000    0.000    0.000    0.000 __init__.py:114(read)
        2    0.000    0.000    0.000    0.000 __init__.py:115(is_available)
        2    0.000    0.000    0.000    0.000 __init__.py:116(__setattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:1170(_open)
       26    0.000    0.000    0.001    0.000 __init__.py:1178(emit)
        1    0.000    0.000    0.000    0.000 __init__.py:118(setup_integrations)
       32    0.000    0.000    0.000    0.000 __init__.py:119(getLevelName)
        1    0.000    0.000    0.000    0.000 __init__.py:1194(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:12(is_built)
       11    0.000    0.000    0.000    0.000 __init__.py:12(partialclass)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1218(PlaceHolder)
        4    0.000    0.000    0.000    0.000 __init__.py:122(_declare_state)
       59    0.000    0.000    0.000    0.000 __init__.py:1224(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:123(cuBLASModule)
      178    0.000    0.000    0.000    0.000 __init__.py:1230(append)
        1    0.000    0.000    0.000    0.000 __init__.py:124(EmptyDataError)
        1    0.000    0.000    0.000    0.000 __init__.py:1240(_CudaBase)
        2    0.000    0.000    0.476    0.238 __init__.py:125(assume_constant_result)
      200    0.000    0.000    0.000    0.000 __init__.py:125(valid)
        1    0.000    0.000    0.000    0.000 __init__.py:1257(_CudaLegacyStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:1260(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1265(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:127(WorkerQueue)
        1    0.000    0.000    0.000    0.000 __init__.py:1272(ByteStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:1276(<listcomp>)
        9    0.000    0.000    0.000    0.000 __init__.py:1276(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1280(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1283(DoubleStorage)
      230    0.000    0.000    0.001    0.000 __init__.py:1284(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1287(Popen)
        1    0.000    0.000    0.000    0.000 __init__.py:129(InvalidVersion)
       11    0.000    0.000    0.000    0.000 __init__.py:129(_inplace_wrapper)
     3692    0.000    0.000    0.000    0.000 __init__.py:129(annotate)
        1    0.000    0.000    0.000    0.000 __init__.py:1294(FloatStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:13(Error)
       11    0.000    0.000    0.000    0.000 __init__.py:13(NewCls)
        1    0.000    0.000    0.002    0.002 __init__.py:13(_init_externals)
        5    0.000    0.000    0.000    0.000 __init__.py:13(set_module)
        1    0.000    0.000    0.000    0.000 __init__.py:130(DeprecatedTuple)
        1    0.000    0.000    0.000    0.000 __init__.py:130(ParserWarning)
      304    0.000    0.000    0.001    0.000 __init__.py:1304(safe_name)
        1    0.000    0.000    0.000    0.000 __init__.py:1305(HalfStorage)
      132    0.000    0.000    0.000    0.000 __init__.py:131(<genexpr>)
      304    0.000    0.000    0.003    0.000 __init__.py:1312(safe_version)
        1    0.000    0.000    0.000    0.000 __init__.py:1316(LongStorage)
        2    0.000    0.000    0.000    0.000 __init__.py:132(make)
        1    0.000    0.000    0.000    0.000 __init__.py:1322(ELEMENTWISE_TYPE_PROMOTION_KIND)
        1    0.000    0.000    0.000    0.000 __init__.py:1327(IntStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:1331(REDUCTION_OUTPUT_TYPE_KIND)
      164    0.000    0.000    0.001    0.000 __init__.py:1335(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1338(ShortStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:134(<genexpr>)
       14    0.000    0.000    0.000    0.000 __init__.py:134(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1345(RETURN_TYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:1349(CharStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:135(_BaseVersion)
        7    0.000    0.000    0.000    0.000 __init__.py:1359(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:1360(BoolStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:1370(NullProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1371(BFloat16Storage)
       51    0.002    0.000    0.002    0.000 __init__.py:1372(_clear_cache)
       27    0.000    0.000    0.000    0.000 __init__.py:138(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1382(ComplexDoubleStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:1389(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1393(ComplexFloatStorage)
      150    0.000    0.000    0.001    0.000 __init__.py:1393(_get_metadata_path)
      149    0.000    0.000    0.001    0.000 __init__.py:1396(has_metadata)
        1    0.000    0.000    0.000    0.000 __init__.py:14(DockerError)
        1    0.000    0.000    0.000    0.000 __init__.py:14(_Await)
        1    0.000    0.000    0.000    0.000 __init__.py:14(_PyFutureMeta)
        1    0.000    0.000    0.000    0.000 __init__.py:14(verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:1403(get_metadata)
      165    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:141(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1416(get_metadata_lines)
       51    0.000    0.000    0.002    0.000 __init__.py:1417(setLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:142(_DeviceGuard)
        1    0.000    0.000    0.000    0.000 __init__.py:1421(_WrappedTritonKernel)
       11    0.000    0.000    0.000    0.000 __init__.py:1424(debug)
       17    0.000    0.000    0.001    0.000 __init__.py:1436(info)
        3    0.000    0.000    0.000    0.000 __init__.py:144(__lt__)
        1    0.000    0.000    0.000    0.000 __init__.py:146(py_object)
      528    0.000    0.000    0.000    0.000 __init__.py:146(register_decomposition)
      150    0.000    0.000    0.001    0.000 __init__.py:1472(_fn)
      150    0.000    0.000    0.001    0.000 __init__.py:1478(_validate_resource_path)
        1    0.000    0.000    0.000    0.000 __init__.py:1487(ByteStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:1497(DoubleStorage)
        9    0.000    0.000    0.001    0.000 __init__.py:1497(log)
        1    0.000    0.000    0.001    0.001 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1507(FloatStorage)
       32    0.000    0.000    0.000    0.000 __init__.py:1514(findCaller)
        1    0.000    0.000    0.000    0.000 __init__.py:1517(HalfStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:152(FastLookup)
        1    0.000    0.000    0.000    0.000 __init__.py:1527(LongStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:1537(IntStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:1547(ShortStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:155(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:155(device)
       32    0.000    0.000    0.001    0.000 __init__.py:1550(makeRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:1557(CharStorage)
       32    0.000    0.000    0.002    0.000 __init__.py:1565(_log)
        1    0.000    0.000    0.000    0.000 __init__.py:1567(BoolStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:157(EntryPoint)
        1    0.000    0.000    0.000    0.000 __init__.py:1575(EggProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1577(BFloat16Storage)
